"","op","n.x","n.y","n.x","n.y","white"
"1","a3 ",113,113,22,248,113
"2","a4 ",43,42,7,92,43
"3","b3 ",259,244,38,541,259
"4","b4 ",148,131,22,301,148
"5","c3 ",211,190,48,449,211
"6","c4 ",4707,4186,1485,10378,4707
"7","d3 ",498,518,59,1075,498
"8","d4 ",23656,21668,4768,50092,23656
"9","e3 ",2048,2073,570,4691,2048
"10","e4 ",32909,30260,6937,70106,32909
"11","f3 ",94,92,9,195,94
"12","f4 ",361,371,47,779,361
"13","g3 ",581,563,76,1220,581
"14","g4 ",44,53,10,107,44
"15","h3 ",74,66,28,168,74
"16","h4 ",39,50,8,97,39
"17","Na3",12,16,4,32,12
"18","Nc3",427,401,84,912,427
"19","Nf3",3941,3500,976,8417,3941
